YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,COUNTRY,STATE,LATITUDE,LONGITUDE,DEATHS,Depth
2003,10.0,25.0,12.0,41.0,35.2,5.8,CHINA,no info,38.4,100.95100000000001,9.0,10.0
2003,10.0,31.0,1.0,6.0,28.2,7.0,JAPAN,no info,37.812,142.619,0.0,10.0
2003,11.0,13.0,2.0,35.0,10.3,5.1,CHINA,no info,34.711999999999996,103.834,1.0,10.0
2003,11.0,14.0,18.0,49.0,46.5,5.6,CHINA,no info,27.372,103.971,4.0,33.0
2003,11.0,17.0,6.0,43.0,6.8,7.8,USA,AK,51.146,178.65,0.0,33.0
2003,11.0,18.0,17.0,14.0,22.6,6.5,PHILIPPINES,no info,12.025,125.416,1.0,35.0
2003,11.0,26.0,13.0,38.0,57.8,4.7,CHINA,no info,27.283,103.75299999999999,0.0,33.0
2003,12.0,1.0,1.0,38.0,31.9,6.0,CHINA,no info,42.905,80.515,11.0,10.0
2003,12.0,5.0,23.0,41.0,27.4,4.9,INDONESIA,no info,-8.137,120.524,0.0,33.0
2003,12.0,10.0,4.0,38.0,11.5,6.8,TAIWAN,no info,23.039,121.36200000000001,0.0,10.0
2003,12.0,11.0,16.0,28.0,17.3,5.0,IRAN,no info,31.953000000000003,49.208999999999996,0.0,33.0
2003,12.0,17.0,23.0,15.0,17.2,4.4,BULGARIA,no info,43.083,27.486,0.0,34.0
2003,12.0,22.0,19.0,15.0,56.0,6.6,USA,CA,35.705999999999996,-121.102,2.0,8.0
2003,12.0,25.0,7.0,11.0,11.5,6.5,PANAMA,no info,8.416,-82.824,2.0,33.0
2003,12.0,26.0,1.0,56.0,52.4,6.6,IRAN,no info,28.995,58.31100000000001,31000.0,10.0
2003,12.0,27.0,4.0,55.0,25.4,6.1,NEW CALEDONIA,no info,-22.107,169.35,0.0,10.0
2004,1.0,1.0,20.0,59.0,31.9,5.8,INDONESIA,no info,-8.31,115.788,1.0,45.0
2004,1.0,1.0,23.0,31.0,50.0,6.1,MEXICO,no info,17.488,-101.303,0.0,29.0
2004,1.0,10.0,7.0,43.0,18.0,2.2,SLOVAKIA,no info,48.758,19.217,0.0,5.0
2004,1.0,10.0,18.0,38.0,14.8,4.4,ALGERIA,no info,36.852,3.418,0.0,10.0
2004,1.0,14.0,16.0,58.0,48.1,5.2,IRAN,no info,27.695,52.397,0.0,12.0
2004,1.0,28.0,22.0,15.0,30.7,6.7,INDONESIA,no info,-3.12,127.4,0.0,17.0
2004,2.0,4.0,11.0,59.0,47.6,6.1,PANAMA,no info,8.357999999999999,-82.87700000000001,0.0,29.0
2004,2.0,5.0,21.0,5.0,2.8,7.0,INDONESIA,no info,-3.615,135.53799999999998,37.0,17.0
2004,2.0,7.0,2.0,42.0,35.2,7.3,INDONESIA,no info,-4.003,135.023,0.0,10.0
